manufacturer,average_price
ferrari,127583.4875
aston-martin,61136.619047619046
tesla,39491.89086595492
porsche,34220.84907120743
ram,30072.18260231235
alfa-romeo,29553.809801633604
rover,29185.14380081301
jaguar,27349.759131815776
audi,25102.430680539932
gmc,25087.658919270834
mercedes-benz,22590.513952357804
infiniti,21175.8022993688
ford,21085.330696816018
acura,20923.970365143763
cadillac,20619.79740655988
bmw,20581.23908722856
lexus,20509.207318661283
lincoln,20490.538327526134
chevrolet,20109.843896900646
jeep,19888.048195562766
volvo,18416.45871559633
toyota,17201.194560469343
dodge,16208.826454418642
datsun,16176.084745762711
buick,15313.758152173914
land rover,15103.0
mini,14976.425011125946
mitsubishi,14646.126901910004
subaru,13890.52790228597
harley-davidson,13448.246376811594
mazda,13378.063298722045
volkswagen,13235.015476728422
morgan,13100.0
nissan,12972.419577179264
kia,12607.368307775087
fiat,12326.034031413612
hyundai,11937.289238392761
honda,11581.473916126419
chrysler,10998.94176313446
pontiac,8438.703202525936
mercury,5749.600531443755
saturn,5145.931711880262
